Gene.symbol,GSM1057835,GSM1057836,GSM1057837,GSM1057838,GSM1057839,GSM1057840,GSM1057841,GSM1057842,GSM1057843,GSM1057844,GSM1057845,GSM1057846,GSM1057847,GSM1057848,GSM1057849,GSM1057850,GSM1057851,GSM1057852,GSM1057853,GSM1057854,GSM1057855,GSM1057856,GSM1057857,GSM1057858,GSM1057859,GSM1057860,GSM1057861,GSM1057862,GSM1057863,GSM1057864,GSM1057865,GSM1057866,GSM1057867,GSM1057868,GSM1057869,GSM1057870,GSM1057871,GSM1057872,GSM1057873,GSM1057874,GSM1057875,GSM1057876,GSM1057877,GSM1057878,GSM1057879,GSM1057880,GSM1057881,GSM1057882,GSM1057883,GSM1057884,GSM1057885,GSM1057886,GSM1057887,GSM1057888,GSM1057889,GSM1057890,GSM1057891,GSM1057892,GSM1057893,GSM1057894,GSM1057895,GSM1057896,GSM1057897,GSM1057898,GSM1057899,GSM1057900,GSM1057901,GSM1057902,GSM1057903,GSM1057904,GSM1057905,GSM1057906,GSM1057907,GSM1057908,GSM1057909,GSM1057910,GSM1057911,GSM1057912,GSM1057913,GSM1057914,GSM1057915,GSM1057916,GSM1057917,GSM1057918,GSM1057919,GSM1057920,GSM1057921,GSM1057922,GSM1057923,GSM1057924,GSM1057925,GSM1057926,GSM1057927,GSM1057928,GSM1057929,GSM1057930,GSM1057931,GSM1057932,GSM1057933,GSM1057934,GSM1057935,GSM1057936,GSM1057937,GSM1057938,GSM1057939,GSM1057940,GSM1057941,GSM1057942
RFC2,0.555938953,0.526064607,0.420681816,0.530702185,0.628871038,0.284066403,0.503319396,0.531232766,0.520552222,0.570400385,0.708480683,0.395337181,0.653247478,0.534111223,0.535290426,0.441161327,0.586351222,0.399602274,0.599717366,0.476997354,0.515299193,0.341327409,0.542039872,0.371284607,0.446337847,0.478967447,0.342326665,0.333790546,0.607895268,0.451236219,0.451628141,0.466955561,0.653843198,0.673427091,0.483619489,0.497110534,0.631219117,0.336010461,0.799323873,0.428662453,0.632299026,0.517724993,0.633908562,0.698738677,0.403726856,0.615438575,0.495734995,0.588973807,0.446586667,0.638629127,0.49596362,0.532015225,0.597056122,0.619991952,0.619213065,0.577551978,0.610129743,0.571287048,0.515919107,0.603863038,0.597585369,0.541418656,0.542803044,0.675170818,0.52699124,0.594252327,0.655418655,0.638543831,0.679614074,0.499349876,0.629588408,0.674849681,0.567773807,0.584869605,0.537650719,0.657810618,0.45446847,0.524188377,0.32574258,0.48006262,0.588880179,0.57854277,0.656350749,0.638255377,0.652368757,0.466990699,0.442044209,0.636519004,0.431693296,0.708199845,0.505008888,0.684979065,0.586053169,0.645175042,0.455038874,0.6020334,0.55708653,0.574321516,0.559355729,0.478338471,0.512284433,0.58365168,0.35331266,0.11800199,0.777495287,0.700040176,0.769619729,0.762426017
CCL5,0.336794164,0.75052474,0.516897982,0.599889901,0.684481822,0.417851548,0.654665399,0.595191198,0.713616917,0.823906641,0.858043226,0.435690744,0.756297607,0.789079147,0.599283417,0.69648315,0.542301217,0.393437998,0.735527437,0.62543375,0.736853019,0.500392209,0.523653051,0.528130719,0.492381895,0.419473397,0.652400959,0.471640785,0.802549172,0.51919005,0.804302256,0.272182158,0.436632492,0.466717171,0.56189119,0.443797085,0.547327659,0.595588879,0.4689603,0.593929334,0.514474191,0.907021931,0.341824358,0.923475176,0.525378128,0.676531114,0.55302429,0.819019234,0.294799678,0.737694119,0.46772786,0.537818407,0.582367993,0.390461228,0.768212812,0.781762301,0.610384578,0.837528628,0.849382419,0.498812704,0.418297611,0.734065433,0.740491287,0.778436657,0.689010948,0.760831872,0.703063209,0.696170406,0.244396424,0.437340833,0.609900348,0.412021656,0.817639157,0.385504882,0.475619098,0.468637853,0.686399028,0.863666443,0.418117719,0.526981009,0.637143834,0.776377901,0.943239684,0.956187752,0.980261039,0.716070077,0.811756046,0.265306122,0.948885932,0.404422666,0.323610818,0.941127715,0.679669252,0.067870383,0.357984658,0.905806149,0.427154019,0.786107216,0.320124524,0.318082777,0.297651707,0.229183944,0.459414749,0.557451074,0.214125215,0.067229202,0.186433438,0.02541429
CHURC1-FNTB///FNTB,0.296902947,0.542241479,0.506197329,0.511269541,0.359057088,0.466237008,0.510204082,0.381167804,0.361509959,0.394595473,0.515514678,0.570111073,0.443716469,0.493989318,0.130709584,0.495522426,0.450266328,0.453321263,0.188468088,0.591298705,0.537149634,0.592143728,0.459246224,0.558605515,0.486180698,0.200055916,0.430767143,0.483515837,0.478887985,0.425794344,0.467070317,0.536167128,0.73351066,0.660894778,0.469146355,0.685856469,0.656078641,0.613395969,0.715327946,0.406333642,0.233989803,0.603148614,0.546051269,0.616435388,0.526494116,0.100372936,0.632786894,0.503046667,0.553079405,0.610162926,0.565472249,0.433182589,0.197070185,0.622870183,0.410580721,0.456317074,0.44480688,0.570294389,0.437386786,0.432857357,0.505519727,0.573912321,0.547660438,0.495107838,0.477252159,0.548894684,0.525539057,0.532887492,0.243893131,0.319247925,0.366785207,0.593164381,0.567242087,0.558419734,0.682288961,0.579859584,0.527846603,0.500083815,0.554087956,0.385774334,0.516611597,0.442456114,0.642785671,0.537915097,0.47038674,0.508610914,0.58928283,0.526179653,0.597402419,0.614238086,0.548156085,0.611958258,0.510350961,0.498609171,0.366034253,0.524376527,0.432110509,0.294607427,0.57899842,0.603941744,0.454465873,0.580727791,0.520094141,0.414904277,0.404948965,0.269211075,0.178210407,0.176088801
PRKAR1A,0.795584689,0.874471508,0.889414322,0.887814595,0.804107089,0.894651391,0.871655961,0.951096554,0.922440091,0.928183953,0.908685737,0.866036196,0.916022482,0.933116632,0.804839241,0.933861859,0.707120027,0.905350358,0.754480458,0.937811041,0.908669516,0.92364384,0.826525799,0.821638731,0.83725512,0.921402758,0.908751377,0.856391029,0.586014195,0.837384271,0.932800244,0.942462304,0.930719271,0.851664691,0.934340092,0.936723637,0.937715681,0.923587646,0.922574707,0.861090969,0.844653949,0.907265176,0.797470578,0.870780129,0.915308871,0.711609475,0.907856223,0.825576029,0.848512573,0.866759825,0.870632653,0.875210452,0.904091441,0.904194234,0.77274772,0.860152875,0.753676607,0.895350318,0.903773289,0.844463311,0.915562959,0.911741127,0.915440502,0.887874309,0.844843611,0.877132387,0.945405577,0.926187914,0.838452209,0.751647397,0.854205309,0.884727834,0.933379062,0.828252116,0.870661854,0.929936773,0.902449021,0.914118136,0.904165138,0.713481758,0.883297261,0.900724263,0.898711005,0.894000692,0.889535629,0.927416808,0.888637162,0.92292837,0.877519724,0.838370116,0.883278668,0.92391175,0.900180553,0.835819187,0.925090451,0.934534265,0.850625094,0.894762071,0.723707779,0.88052166,0.882752045,0.878943041,0.472063826,0.418774754,0.653061224,0.831791261,0.597365841,0.362543419
WARS,0.396414566,0.769946293,0.845625942,0.84376587,0.80775438,0.836792277,0.757523622,0.908280081,0.923791891,0.875043899,0.676239831,0.896601856,0.810137234,0.87629159,0.753300665,0.822030731,0.798486772,0.941868123,0.829015188,0.90940443,0.926082201,0.922840784,0.907662543,0.792338666,0.760238969,0.907275426,0.865876875,0.832292848,0.884147876,0.890064126,0.903651828,0.864882318,0.789988555,0.876072108,0.830686555,0.733744388,0.853603111,0.832011313,0.83200483,0.868390788,0.691563341,0.780137201,0.784740465,0.546244179,0.926369766,0.720829495,0.752844285,0.852215878,0.900660229,0.880079393,0.798924182,0.604003609,0.412768165,0.93003879,0.888037144,0.77422362,0.719010522,0.794894865,0.795006725,0.765255638,0.597427412,0.841655278,0.765923451,0.804680712,0.926173796,0.815163532,0.859138947,0.848932645,0.547930777,0.768770131,0.688592973,0.758527787,0.930510136,0.807180798,0.891788819,0.855021585,0.932008883,0.897212562,0.75869313,0.886199837,0.907120335,0.839426976,0.679836144,0.88545645,0.88284239,0.901996069,0.941355818,0.741527884,0.898601591,0.565952422,0.819523725,0.907624526,0.877028143,0.880627158,0.886889255,0.87893148,0.827319758,0.939901058,0.719073039,0.542787126,0.82380479,0.737436988,0.764951261,0.303692972,0.56956217,0.550186532,0.681437105,0.298322351
YWHAZ,0.962020031,0.96159311,0.962817345,0.970762853,0.93256327,0.971947977,0.940609195,0.972011681,0.963055598,0.971475593,0.968649986,0.965194632,0.964556952,0.971754827,0.943287367,0.966394948,0.925760731,0.972729081,0.956002908,0.972602387,0.958535997,0.965532414,0.961258723,0.93887972,0.9604678,0.96953907,0.96072143,0.972534885,0.959429501,0.959062911,0.972829769,0.973095439,0.963898389,0.972760508,0.97885643,0.970660563,0.968791599,0.97974589,0.969427461,0.965485215,0.921488865,0.967207857,0.938457557,0.964557134,0.969089837,0.961334686,0.959082037,0.947435739,0.963719082,0.965340268,0.968189951,0.963214584,0.967030223,0.969134525,0.923123395,0.952132258,0.928352769,0.980857785,0.966575438,0.953102426,0.963644824,0.962570044,0.962134427,0.970553639,0.94556184,0.957182709,0.96711064,0.950075479,0.968250834,0.960999741,0.960243338,0.9642241,0.97294182,0.96140531,0.961106676,0.946796926,0.950524285,0.962840497,0.968663087,0.979561553,0.946459626,0.970434996,0.950149876,0.980025796,0.969904046,0.97930316,0.957483505,0.966154843,0.965328395,0.956491169,0.958677155,0.978135291,0.959129402,0.963171964,0.963076974,0.97338655,0.96393785,0.976815114,0.950347075,0.961948354,0.962026634,0.963584905,0.93112165,0.890619288,0.919450174,0.944910867,0.904155053,0.87407235
S100A11,0.581857194,0.642264441,0.839301278,0.3114927,0.57024217,0.703155885,0.593540166,0.885980979,0.930369987,0.920395854,0.558184193,0.883533171,0.497273454,0.973131408,0.656560701,0.835679207,0.924215721,0.975050958,0.898503718,0.970981469,0.979170224,0.977706725,0.964958227,0.82015912,0.473242924,0.972770997,0.967135938,0.941205347,0.927125752,0.978593769,0.939310609,0.959284082,0.717788407,0.938430518,0.812621069,0.93809515,0.937712044,0.52230367,0.80869423,0.860204745,0.789093233,0.942718871,0.613642159,0.896177425,0.935657178,0.085067507,0.894886268,0.896573984,0.928557433,0.931634913,0.543506988,0.798438758,0.28082106,0.949172539,0.913128185,0.87425085,0.54204575,0.790486711,0.658949231,0.722707792,0.667033689,0.868457701,0.891796264,0.936529637,0.979990868,0.81264881,0.93083156,0.902473458,0.845011077,0.90087017,0.389921159,0.755732038,0.918586767,0.851160951,0.931124711,0.929471381,0.973324759,0.972734327,0.827724538,0.957025916,0.94697747,0.960778366,0.559794197,0.962665993,0.974650585,0.984492726,0.980923822,0.704107782,0.974026666,0.838423388,0.855093336,0.976150152,0.874929066,0.80908274,0.983480214,0.97818634,0.92418626,0.979822464,0.966699085,0.942924068,0.948251988,0.921707605,0.760472258,0.589766459,0.599506758,0.455394066,0.459840747,0.259915856
CTSA,0.943019457,0.945493281,0.929050443,0.959974015,0.967276716,0.916622535,0.955242118,0.926448435,0.940976203,0.924433346,0.962813942,0.943787123,0.954516584,0.955922127,0.926259258,0.970261716,0.961257116,0.962339187,0.915043158,0.95057702,0.960576472,0.94655676,0.953404252,0.961167838,0.934307685,0.921498948,0.951639034,0.962679707,0.953455593,0.959763495,0.956459071,0.965188014,0.89794398,0.822304297,0.896912931,0.908952684,0.939047383,0.921880875,0.870859896,0.835117653,0.927722892,0.940862765,0.948584891,0.946829383,0.886198142,0.955159107,0.973308187,0.975581766,0.939535193,0.977878828,0.86291886,0.976970105,0.946738146,0.914738008,0.960391043,0.965051412,0.906667475,0.968638181,0.980106979,0.931649174,0.898974494,0.968478339,0.953161185,0.973429767,0.971743255,0.971951498,0.965298714,0.969948114,0.955966616,0.92502408,0.960980937,0.925575727,0.962855167,0.979711005,0.980108738,0.947175705,0.970161611,0.971016217,0.960475122,0.96056774,0.967173491,0.968095064,0.961636117,0.979937732,0.975131692,0.976824369,0.971679175,0.944178202,0.97779082,0.969492234,0.962397239,0.981551015,0.979768391,0.956877914,0.966586031,0.971437712,0.947879054,0.970184248,0.968371311,0.949601127,0.96560564,0.944139803,0.941735479,0.94518629,0.826896826,0.861650633,0.888168698,0.86100357
HMGB1,0.970815778,0.95258449,0.967948269,0.974271509,0.948987976,0.97168441,0.963061862,0.958932094,0.966496367,0.964909534,0.948848231,0.953456685,0.967946448,0.957358524,0.968236494,0.969537036,0.949979342,0.949469744,0.946445948,0.952760209,0.943114142,0.95677038,0.966245134,0.959664033,0.952823261,0.966340062,0.928314199,0.941725185,0.972591967,0.928216787,0.951448806,0.959834761,0.964688844,0.974177901,0.96288011,0.970042002,0.961221179,0.971662591,0.965136909,0.973345944,0.972912542,0.938861885,0.974104224,0.972537003,0.963283008,0.936598891,0.943731643,0.973358001,0.951801715,0.948837481,0.963701281,0.939238212,0.953661856,0.967980887,0.962152094,0.960365049,0.953202862,0.954362817,0.970907893,0.965588339,0.975430792,0.958445964,0.973433643,0.97621119,0.943686662,0.959651823,0.962765357,0.963828835,0.977058263,0.971157046,0.964278323,0.978233208,0.954821824,0.949432483,0.977559883,0.954221309,0.909731675,0.95820984,0.960630074,0.952297107,0.970459297,0.968319671,0.967549834,0.948205712,0.968752979,0.963767301,0.937650254,0.979966679,0.950663061,0.961113816,0.941880698,0.971711044,0.96173261,0.952509992,0.964812078,0.959875065,0.96676828,0.948660907,0.961911113,0.962344598,0.939445725,0.967992635,0.921258138,0.942786993,0.982469706,0.983422973,0.977419857,0.980607045
TPP1,0.972441539,0.976572967,0.964186733,0.967701566,0.971661355,0.976699906,0.976847316,0.969659938,0.97588881,0.968240026,0.970437729,0.959262376,0.944100416,0.981859042,0.960252306,0.9799815,0.961472573,0.975561405,0.96379143,0.963445989,0.977494456,0.971708052,0.969333689,0.965631235,0.960517511,0.973141316,0.960448309,0.968967436,0.970126679,0.969746289,0.973518043,0.979532154,0.902198493,0.89924768,0.953960804,0.959639961,0.945864644,0.947920138,0.95286984,0.952529791,0.919370113,0.966695161,0.956109194,0.884277506,0.967948143,0.938386878,0.974492822,0.952986498,0.97047694,0.980016051,0.917158775,0.975405325,0.959242612,0.939339581,0.960520299,0.97646875,0.953312423,0.974546205,0.961581222,0.946650739,0.946521097,0.980344811,0.958069817,0.980466534,0.982982763,0.975897063,0.974260392,0.974582759,0.958807254,0.968405329,0.941499778,0.946838269,0.977613666,0.976063714,0.940804968,0.975674685,0.97662785,0.971246664,0.970748709,0.972997938,0.972121199,0.979659264,0.969415947,0.982105518,0.969278789,0.980700728,0.981118296,0.968409117,0.982540509,0.972829518,0.963587934,0.982261017,0.980500811,0.964201386,0.980644045,0.982521637,0.966539978,0.982791909,0.95367357,0.942527848,0.969937209,0.937546667,0.901389502,0.896164593,0.873669124,0.927259095,0.8668803,0.823954679
