Gene.symbol,ID_REF,GSM1057835,GSM1057836,GSM1057837,GSM1057838,GSM1057839,GSM1057840,GSM1057841,GSM1057842,GSM1057843,GSM1057844,GSM1057845,GSM1057846,GSM1057847,GSM1057848,GSM1057849,GSM1057850,GSM1057851,GSM1057852,GSM1057853,GSM1057854,GSM1057855,GSM1057856,GSM1057857,GSM1057858,GSM1057859,GSM1057860,GSM1057861,GSM1057862,GSM1057863,GSM1057864,GSM1057865,GSM1057866,GSM1057867,GSM1057868,GSM1057869,GSM1057870,GSM1057871,GSM1057872,GSM1057873,GSM1057874,GSM1057875,GSM1057876,GSM1057877,GSM1057878,GSM1057879,GSM1057880,GSM1057881,GSM1057882,GSM1057883,GSM1057884,GSM1057885,GSM1057886,GSM1057887,GSM1057888,GSM1057889,GSM1057890,GSM1057891,GSM1057892,GSM1057893,GSM1057894,GSM1057895,GSM1057896,GSM1057897,GSM1057898,GSM1057899,GSM1057900,GSM1057901,GSM1057902,GSM1057903,GSM1057904,GSM1057905,GSM1057906,GSM1057907,GSM1057908,GSM1057909,GSM1057910,GSM1057911,GSM1057912,GSM1057913,GSM1057914,GSM1057915,GSM1057916,GSM1057917,GSM1057918,GSM1057919,GSM1057920,GSM1057921,GSM1057922,GSM1057923,GSM1057924,GSM1057925,GSM1057926,GSM1057927,GSM1057928,GSM1057929,GSM1057930,GSM1057931,GSM1057932,GSM1057933,GSM1057934,GSM1057935,GSM1057936,GSM1057937,GSM1057938,GSM1057939,GSM1057940,GSM1057941,GSM1057942,adj.P.Val,P.Value,t,B,logFC,Gene.title
RFC2,1053_at,0.5559389534655605,0.5260646068023712,0.4206818155790932,0.5307021852593352,0.6288710381641204,0.2840664028557897,0.5033193961510593,0.5312327657952243,0.5205522221698249,0.5704003846340806,0.7084806827005103,0.3953371805665712,0.6532474776849841,0.5341112225191031,0.5352904255534202,0.4411613268669967,0.5863512215614253,0.3996022744450622,0.599717366031914,0.4769973540929782,0.5152991929431519,0.3413274086695939,0.542039871797464,0.3712846066232065,0.4463378471616205,0.4789674470186429,0.3423266653500816,0.3337905459663491,0.6078952679282015,0.4512362186157073,0.4516281413923609,0.4669555612174578,0.653843198441311,0.6734270905912378,0.4836194886947261,0.4971105342805929,0.6312191172831445,0.3360104611077545,0.7993238731012281,0.4286624528402112,0.6322990260696664,0.5177249931749617,0.6339085618084587,0.6987386770477492,0.4037268556913576,0.6154385751833006,0.4957349954957254,0.588973806956953,0.4465866670975595,0.6386291269710136,0.4959636204085063,0.5320152251056232,0.5970561220667882,0.6199919515116914,0.619213065083735,0.577551977607928,0.6101297434282547,0.5712870481788421,0.5159191067240178,0.6038630379877706,0.5975853687237771,0.5414186558554359,0.5428030438258539,0.675170818099879,0.526991240075001,0.5942523268780511,0.6554186552143378,0.6385438311794832,0.679614073524208,0.4993498759958473,0.6295884075022996,0.674849680917612,0.5677738068716055,0.5848696050221417,0.5376507191192623,0.6578106177640369,0.4544684699360412,0.5241883765456317,0.3257425797983453,0.4800626203805052,0.5888801789789964,0.5785427701703835,0.6563507487347594,0.6382553772649431,0.6523687569314834,0.4669906986241308,0.4420442093662654,0.63651900372785,0.4316932958357046,0.7081998453385825,0.505008888482407,0.6849790647586694,0.586053168765058,0.6451750424836935,0.4550388737748168,0.6020333995618059,0.5570865300139641,0.5743215155640559,0.5593557288616152,0.4783384712847218,0.5122844329991569,0.5836516804088587,0.3533126604505252,0.1180019897389488,0.7774952865533383,0.7000401761754855,0.7696197288818516,0.7624260169502604,0.0102,0.000135,3.9578953,0.882454,1.2710138,replication factor C subunit 2
CCL5,1405_i_at,0.3367941644862098,0.750524739879679,0.516897981845371,0.5998899008919643,0.6844818224856017,0.4178515481211525,0.6546653986563693,0.5951911978456116,0.7136169172421746,0.8239066405793266,0.8580432255374533,0.4356907435573504,0.7562976067775785,0.7890791474753933,0.5992834174722302,0.6964831499804105,0.5423012173456353,0.3934379976103671,0.7355274371319558,0.6254337499833751,0.7368530191968732,0.5003922085454864,0.5236530506039443,0.5281307192933071,0.4923818952314326,0.4194733968366322,0.6524009586371657,0.4716407853279423,0.8025491719350087,0.5191900503807071,0.8043022560479951,0.2721821576985839,0.4366324924582563,0.4667171710730036,0.5618911895946164,0.4437970851950714,0.547327659251033,0.5955888787896678,0.4689602995467757,0.5939293337903665,0.5144741909621653,0.9070219307634184,0.3418243582329046,0.9234751763780396,0.5253781281458292,0.6765311143153245,0.5530242899677038,0.8190192337233858,0.2947996776667991,0.7376941188411006,0.4677278598140508,0.5378184070410528,0.5823679934160496,0.3904612284731135,0.7682128119109445,0.7817623011642513,0.6103845782974304,0.8375286275059272,0.8493824188151202,0.4988127036417074,0.4182976108639464,0.7340654329665425,0.7404912868010101,0.7784366571611907,0.6890109484166659,0.7608318721203391,0.7030632091128766,0.6961704060330589,0.2443964236258995,0.4373408327745441,0.6099003483903719,0.412021655574487,0.8176391569744501,0.3855048815251237,0.4756190975401576,0.4686378532417736,0.6863990279750445,0.8636664427018268,0.4181177186649263,0.526981009361969,0.6371438344197267,0.7763779005668736,0.943239683942384,0.9561877516975932,0.9802610390286062,0.7160700774443738,0.8117560464504593,0.2653061224489795,0.9488859321810696,0.404422666263004,0.323610818088237,0.9411277150288572,0.6796692520329403,0.0678703828176922,0.3579846579264055,0.9058061491365716,0.4271540185825314,0.7861072162757964,0.3201245243130342,0.3180827773936597,0.2976517065849806,0.2291839439497141,0.4594147493764,0.5574510739118933,0.2141252152723423,0.0672292016827483,0.1864334383287486,0.0254142896408539,0.000132,1.9e-07,-5.5640576,6.911552,-3.8960495,C-C motif chemokine ligand 5
CHURC1-FNTB///FNTB,1773_at,0.2969029471154619,0.5422414787042856,0.5061973290059334,0.5112695409286072,0.3590570875383903,0.4662370082043389,0.5102040816326531,0.3811678035486833,0.3615099593712477,0.3945954725797046,0.5155146780249987,0.5701110727845378,0.4437164694845742,0.4939893175606204,0.1307095835952192,0.4955224264676356,0.4502663276619389,0.4533212633751201,0.1884680877653949,0.5912987049070999,0.5371496337040587,0.5921437275214205,0.4592462244474827,0.558605515125919,0.4861806979596303,0.2000559159425171,0.4307671425046529,0.4835158367325028,0.4788879850774258,0.425794344267001,0.4670703167821224,0.5361671279203595,0.7335106603243383,0.6608947778061622,0.469146355271668,0.6858564694886412,0.6560786410674823,0.613395968964737,0.7153279464700409,0.4063336415454054,0.2339898027118861,0.6031486139897044,0.5460512686901212,0.6164353884509295,0.5264941157734655,0.1003729361701652,0.6327868941931009,0.5030466670734143,0.5530794048905038,0.6101629255401009,0.5654722494295596,0.4331825886225958,0.1970701854565089,0.6228701825198621,0.4105807209759079,0.4563170741070673,0.4448068804318837,0.5702943891379635,0.4373867862840931,0.4328573566685273,0.505519726697623,0.5739123209403776,0.5476604376199342,0.4951078383699928,0.4772521587951063,0.5488946843594091,0.5255390565439263,0.5328874923420928,0.2438931313725686,0.3192479253636289,0.3667852072974674,0.593164381440451,0.5672420870593743,0.5584197335080873,0.6822889608744189,0.5798595839793588,0.5278466032447626,0.5000838146531577,0.5540879563266011,0.3857743339974788,0.5166115967754398,0.4424561138633353,0.6427856713202853,0.5379150972894912,0.4703867404681304,0.5086109142687937,0.5892828295389401,0.5261796531416025,0.5974024192749551,0.6142380862041169,0.5481560851464274,0.6119582583829255,0.510350961128707,0.4986091708732023,0.3660342530561273,0.5243765270388804,0.4321105092333181,0.2946074272428626,0.5789984197107714,0.6039417440184188,0.4544658734835139,0.5807277906579241,0.520094140775602,0.4149042772175744,0.40494896466532,0.2692110746321548,0.1782104065220772,0.1760888009814852,0.00945,0.000122,-3.9862797,0.976882,-1.7076993,"CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta"
PRKAR1A,200604_s_at,0.7955846892906814,0.8744715078552309,0.8894143222640346,0.8878145949965571,0.8041070887569929,0.8946513914921734,0.8716559613472223,0.951096553644952,0.9224400908156164,0.9281839526133492,0.9086857372037522,0.866036195623181,0.9160224821635676,0.9331166324480006,0.8048392413858885,0.9338618589862624,0.7071200271896424,0.9053503580853964,0.7544804584585642,0.9378110410709984,0.9086695158150736,0.92364383975432,0.8265257986588249,0.8216387309359879,0.837255119772269,0.921402757801416,0.9087513772837944,0.8563910292562809,0.5860141948477883,0.8373842706630099,0.9328002436690211,0.9424623039155255,0.9307192707092052,0.8516646910307039,0.9343400919472415,0.9367236373748824,0.9377156813814628,0.923587646176558,0.9225747068454666,0.8610909690566023,0.8446539493179036,0.907265175885182,0.7974705777237816,0.8707801292041684,0.9153088705391146,0.7116094752866375,0.9078562227131324,0.8255760292691325,0.8485125731481616,0.86675982471327,0.8706326534072428,0.8752104523139991,0.90409144147526,0.9041942338854306,0.7727477202299986,0.8601528751843721,0.7536766066343538,0.8953503175282758,0.9037732887423674,0.8444633107350523,0.915562958985826,0.9117411267006276,0.9154405024369604,0.8878743092448539,0.8448436106953321,0.8771323872267655,0.9454055769836592,0.9261879142461472,0.838452209474461,0.7516473965364824,0.8542053086973842,0.8847278344825321,0.9333790615427686,0.8282521159268875,0.8706618537359314,0.9299367731025016,0.9024490205832972,0.914118136161697,0.9041651379802542,0.7134817581678006,0.8832972611656661,0.9007242633278943,0.8987110054255999,0.894000691729128,0.889535629178932,0.9274168084677824,0.8886371615086285,0.9229283700407704,0.8775197239364636,0.8383701161206057,0.8832786684278576,0.9239117501727292,0.9001805531923005,0.8358191865841779,0.9250904509520054,0.9345342645131308,0.8506250937770538,0.8947620707726989,0.7237077787896031,0.8805216598102563,0.8827520450038003,0.8789430410604644,0.4720638263665384,0.4187747543843267,0.6530612244897959,0.8317912605090314,0.5973658410813125,0.3625434192134565,0.000417,1.12e-06,-5.1584651,5.270516,-1.8163844,protein kinase cAMP-dependent type I regulatory subunit alpha
WARS,200628_s_at,0.3964145661005523,0.7699462926582727,0.845625941753265,0.8437658701685218,0.8077543803065846,0.8367922770247997,0.7575236219430037,0.9082800812955748,0.9237918909811542,0.8750438989669493,0.676239830568731,0.8966018559177986,0.8101372341623296,0.8762915903573896,0.7533006650128189,0.8220307311981373,0.7984867715954744,0.9418681226373512,0.8290151875508455,0.9094044304408104,0.9260822010249936,0.9228407840960476,0.9076625425729988,0.7923386655917904,0.7602389687208653,0.9072754259371864,0.865876875230582,0.8322928480900416,0.8841478764583818,0.8900641258303914,0.9036518281533154,0.8648823184411846,0.7899885553144572,0.8760721076914498,0.8306865552407204,0.7337443883441997,0.8536031106768319,0.8320113129495766,0.8320048296581615,0.8683907877304518,0.6915633407002995,0.7801372011948371,0.7847404649102255,0.5462441793578592,0.9263697661486204,0.7208294954782475,0.752844285494932,0.8522158779344412,0.9006602292844814,0.8800793932700012,0.7989241823675478,0.6040036093442367,0.4127681652981404,0.9300387899643814,0.8880371436817749,0.7742236204478732,0.7190105219533128,0.7948948645459997,0.7950067247701413,0.7652556382009423,0.597427412320467,0.8416552775892274,0.7659234514870965,0.8046807119936107,0.9261737956205274,0.8151635317644448,0.8591389469967752,0.8489326445776991,0.5479307767862559,0.7687701305839314,0.6885929726459843,0.7585277870212526,0.930510135846788,0.8071807980112724,0.891788819079906,0.8550215850822432,0.9320088826752706,0.8972125623998007,0.7586931301902355,0.8861998368119263,0.9071203354069214,0.8394269755914885,0.6798361441258745,0.8854564504265782,0.8828423895612204,0.901996068857572,0.9413558180528652,0.7415278836466231,0.8986015912060333,0.5659524216088265,0.8195237245905599,0.9076245264484398,0.8770281425708458,0.8806271580539607,0.8868892549447591,0.8789314797640612,0.8273197582771976,0.9399010577362484,0.7190730393636143,0.5427871264747199,0.8238047903828541,0.7374369877654907,0.7649512610405239,0.3036929717706672,0.5695621695342946,0.5501865322154235,0.681437104955713,0.2983223514969401,0.00266,1.56e-05,-4.5219253,2.847932,-1.9086333,tryptophanyl-tRNA synthetase
YWHAZ,200641_s_at,0.9620200314605348,0.9615931102082936,0.9628173451886864,0.9707628528849443,0.9325632695293808,0.9719479773832566,0.9406091954398544,0.9720116810819096,0.963055598320856,0.9714755930097324,0.968649986148571,0.965194632033844,0.9645569519080748,0.9717548272883076,0.9432873667330108,0.9663949480069668,0.9257607306968498,0.9727290808700216,0.9560029081532756,0.9726023873524284,0.9585359973643856,0.9655324143074628,0.96125872282546,0.9388797200641084,0.9604678003133134,0.969539069822915,0.960721429712998,0.9725348853985444,0.959429500761048,0.959062911422087,0.9728297690061714,0.9730954390403656,0.9638983893863238,0.97276050813722,0.9788564303300332,0.970660562782752,0.9687915989749376,0.979745889900753,0.969427461482172,0.9654852146065774,0.9214888645828077,0.967207856851198,0.9384575565657564,0.964557134443827,0.9690898371743396,0.9613346862897606,0.9590820371844642,0.9474357386005344,0.963719081662274,0.9653402678322204,0.968189950876302,0.9632145835270802,0.9670302225845496,0.9691345248716856,0.9231233948023538,0.9521322584082946,0.9283527686236218,0.9808577852689796,0.9665754375205408,0.9531024263079853,0.9636448239909996,0.9625700438056626,0.9621344269369008,0.970553638736978,0.9455618400538728,0.9571827094303712,0.967110639544184,0.95007547878572,0.96825083446395,0.9609997413957952,0.960243338271912,0.964224100422099,0.9729418203020684,0.9614053101759438,0.9611066760899442,0.946796926259517,0.9505242845382268,0.9628404966630146,0.9686630871178108,0.9795615529617748,0.94645962598741,0.970434996070841,0.9501498763773244,0.9800257961011496,0.9699040459192968,0.979303159958226,0.9574835049581812,0.9661548434819638,0.9653283946572224,0.956491168711647,0.958677155493278,0.9781352908993072,0.9591294024809792,0.9631719635735932,0.9630769743944784,0.9733865501702008,0.963937849945216,0.9768151142660048,0.9503470751173232,0.9619483544366448,0.9620266343122116,0.9635849053878448,0.9311216501981538,0.8906192882447508,0.9194501739974518,0.944910867452712,0.904155053385704,0.8740723496695914,0.00104,4.24e-06,-4.8431988,4.045645,-1.1320692,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
S100A11,200660_at,0.5818571942619944,0.6422644405946963,0.8393012778716388,0.3114926998709454,0.5702421701367967,0.7031558852886858,0.5935401661267554,0.8859809788193542,0.9303699873858532,0.9203958536771978,0.5581841933309675,0.8835331705909099,0.4972734540807564,0.9731314082902148,0.656560700555563,0.8356792067744255,0.9242157208165916,0.9750509581324834,0.8985037179117616,0.97098146853268,0.979170223850524,0.9777067254357504,0.964958226844286,0.82015911951002,0.4732429243987452,0.9727709972184552,0.9671359376701402,0.9412053474687652,0.9271257517785156,0.9785937686807812,0.9393106089875998,0.9592840816543864,0.7177884070837709,0.938430518288579,0.812621069288736,0.93809514991422,0.9377120444349112,0.5223036696329728,0.8086942304851255,0.8602047451116646,0.7890932330543243,0.9427188711067768,0.6136421586575623,0.8961774250354155,0.9356571782701772,0.0850675067660363,0.894886268007411,0.8965739835995662,0.9285574328478584,0.9316349130131294,0.543506987622981,0.7984387575046807,0.2808210598366534,0.9491725392583664,0.9131281848418712,0.8742508495665885,0.5420457497647366,0.790486711494951,0.6589492313695823,0.7227077920852251,0.6670336888335874,0.8684577005699771,0.8917962636142804,0.9365296370890778,0.9799908676101646,0.8126488095573913,0.9308315600759364,0.9024734584671896,0.8450110765317703,0.9008701698359404,0.3899211585939959,0.7557320381897021,0.9185867673436257,0.8511609509148208,0.931124711253616,0.929471381260395,0.9733247585985666,0.9727343270876714,0.8277245383372339,0.957025915604874,0.9469774703311934,0.9607783659359176,0.5597941971311898,0.9626659930416016,0.9746505846232262,0.9844927264407444,0.980923822001755,0.7041077823319497,0.9740266664577656,0.8384233878720333,0.8550933355629057,0.9761501521014014,0.8749290658524425,0.8090827404447151,0.9834802136170604,0.978186340018471,0.9241862597455104,0.9798224638448244,0.9666990852652114,0.9429240680601676,0.9482519875876376,0.9217076053726592,0.7604722580272905,0.5897664592091576,0.599506757501417,0.4553940655554271,0.4598407468225505,0.259915855798311,0.0211,0.000438,-3.6269692,-0.180926,-2.9893228,S100 calcium binding protein A11
CTSA,200661_at,0.943019456730283,0.945493280731852,0.9290504426278507,0.9599740147527208,0.9672767164330048,0.9166225345669184,0.9552421177988067,0.9264484347442898,0.9409762029234716,0.9244333457361068,0.9628139424177596,0.9437871233477776,0.9545165842350224,0.9559221269680064,0.9262592583550868,0.9702617164179363,0.9612571157753148,0.9623391874440144,0.915043158446004,0.9505770196775158,0.9605764723345463,0.9465567602300756,0.9534042522803052,0.9611678377950976,0.9343076845652514,0.921498948445241,0.9516390339923492,0.9626797070581676,0.9534555932898992,0.9597634950377067,0.9564590707475872,0.9651880140872968,0.8979439798777852,0.8223042973380711,0.8969129310813474,0.9089526842265824,0.9390473825643364,0.9218808748741026,0.8708598957767305,0.8351176529942161,0.9277228916466732,0.9408627653041364,0.948584891051972,0.9468293825801776,0.8861981420184819,0.9551591068048688,0.9733081865867118,0.9755817655457184,0.9395351929838852,0.9778788276385508,0.862918860273378,0.9769701054099408,0.9467381456666594,0.9147380077833888,0.9603910431158152,0.9650514118750512,0.9066674753816748,0.968638181200844,0.9801069786545812,0.9316491742645886,0.8989744943304933,0.9684783388869004,0.9531611853699984,0.9734297667060146,0.9717432550876296,0.9719514977161854,0.9652987144394588,0.9699481143171544,0.9559666164936494,0.9250240796081066,0.960980936712836,0.9255757266480896,0.9628551671685376,0.9797110051344692,0.980108737580053,0.9471757053894656,0.9701616106516332,0.97101621655282,0.9604751216914036,0.960567739957108,0.967173490922414,0.96809506367383,0.9616361170691516,0.9799377323717772,0.975131691535429,0.9768243692137946,0.9716791751009222,0.9441782022243884,0.9777908195614002,0.9694922341715412,0.962397239216722,0.9815510146437144,0.9797683907021872,0.9568779138707644,0.96658603106864,0.9714377118125448,0.947879053800992,0.9701842475771442,0.968371310778634,0.9496011270613108,0.9656056400118692,0.9441398034424412,0.9417354792011352,0.945186289822848,0.8268968258838204,0.8616506330956035,0.8881686976027194,0.8610035697314059,0.00461,4.01e-05,-4.2810631,1.986183,-1.4536325,cathepsin A
HMGB1,200679_x_at,0.9708157775405986,0.9525844898965504,0.9679482689726444,0.9742715092312252,0.948987976055438,0.971684409994992,0.9630618621035556,0.958932094110606,0.9664963667385404,0.9649095339040006,0.9488482313658252,0.9534566848854382,0.9679464483494414,0.9573585235190516,0.9682364936355669,0.9695370361118978,0.949979342032206,0.9494697440825708,0.946445947851257,0.9527602091187816,0.9431141419352068,0.9567703795719804,0.9662451343893396,0.9596640332599417,0.9528232614907092,0.966340062107206,0.9283141990509564,0.9417251848877884,0.972591966694934,0.9282167869603986,0.9514488058731492,0.9598347609831772,0.9646888440569944,0.9741779005400788,0.9628801095988416,0.9700420023095188,0.96122117875158,0.971662590577911,0.9651369092823116,0.9733459442507196,0.9729125423677596,0.938861885460449,0.9741042243428468,0.9725370031980592,0.9632830083744942,0.936598890526318,0.9437316431533084,0.973358001150743,0.9518017145581156,0.9488374806055518,0.9637012811224788,0.939238212385135,0.9536618556866708,0.9679808872098868,0.9621520935102488,0.9603650493015076,0.953202862082004,0.9543628172060588,0.970907892543602,0.9655883387571064,0.9754307919548234,0.9584459638679032,0.9734336425681654,0.976211190152098,0.943686661993404,0.9596518230714406,0.9627653572370516,0.9638288351747636,0.9770582630893716,0.9711570463415774,0.964278322557757,0.9782332083168912,0.9548218242110268,0.9494324833886584,0.9775598830699752,0.9542213088677328,0.9097316752169988,0.9582098395175624,0.960630073957774,0.9522971067732764,0.9704592971536232,0.9683196705659264,0.9675498341771062,0.9482057122772094,0.9687529789608776,0.9637673010668716,0.9376502538590528,0.9799666785456032,0.9506630606629556,0.9611138156408912,0.9418806979576304,0.9717110439599492,0.9617326099624648,0.9525099923202968,0.9648120777194544,0.9598750651867016,0.966768280428508,0.9486609074139802,0.9619111131653852,0.962344597941084,0.9394457246026238,0.9679926347795688,0.9212581384256192,0.9427869926091028,0.98246970615965,0.9834229727302788,0.9774198570252324,0.980607044699933,0.000416,1.07e-06,5.1691315,5.312764,1.1439718,high mobility group box 1
TPP1,200742_s_at,0.972441539130649,0.9765729669456152,0.964186732948892,0.9677015663006898,0.9716613550201,0.976699906277762,0.9768473161747454,0.9696599376088616,0.9758888097032642,0.9682400259567516,0.9704377285812428,0.9592623758480752,0.9441004157193508,0.9818590424021088,0.960252306423058,0.9799815004682186,0.9614725729862464,0.9755614050671544,0.9637914299982626,0.9634459893231924,0.9774944557378866,0.971708052281876,0.9693336887285032,0.9656312346423666,0.960517510830302,0.9731413164664656,0.960448309171598,0.9689674359284282,0.9701266792161092,0.9697462887307516,0.9735180429609368,0.9795321544916972,0.9021984930147148,0.8992476801995496,0.9539608043208226,0.959639961002654,0.9458646437979578,0.9479201375487304,0.9528698397929732,0.9525297905853995,0.9193701131165652,0.9666951605873616,0.956109193691628,0.8842775055307012,0.9679481427688672,0.9383868783776588,0.9744928222286308,0.952986498118509,0.9704769404841458,0.98001605099163,0.9171587745714382,0.9754053254359142,0.9592426123948092,0.9393395812730836,0.9605202991966996,0.9764687497944106,0.9533124226779244,0.9745462045681816,0.961581222212342,0.9466507385643796,0.946521096852386,0.9803448114692014,0.9580698173669489,0.9804665340256858,0.9829827628952602,0.9758970628803176,0.9742603921320936,0.9745827590912816,0.9588072544487352,0.9684053294338412,0.9414997778226272,0.9468382690894545,0.9776136660093764,0.976063713606494,0.9408049678502092,0.975674685388764,0.9766278495227873,0.9712466638737424,0.9707487091460284,0.9729979378664608,0.9721211988520888,0.9796592643184572,0.9694159472540382,0.9821055179484434,0.9692787890179762,0.9807007275139432,0.981118296497802,0.9684091168024548,0.9825405087928094,0.9728295182812964,0.9635879341149468,0.9822610165423772,0.9805008111113344,0.9642013855685748,0.980644044881532,0.9825216374977508,0.9665399775062998,0.9827919088146542,0.953673569607402,0.9425278480686592,0.969937208504844,0.937546666963097,0.9013895015990372,0.8961645930509071,0.8736691235087111,0.9272590946084944,0.8668802999678008,0.8239546789941996,0.000416,1.06e-06,-5.1729394,5.327859,-1.7258088,tripeptidyl peptidase 1
