Feature,Score
USP1,0.1539729446417224
PRDX6,0.1539729446417224
DUT,0.1539729446417224
APITD1-CORT///APITD1,0.15242973476517907
ATP6AP1,0.15134948785159874
RWDD1,0.1438281768580657
RPS9,0.14277365010909449
ESD,0.14221482107804329
PICALM,0.1419061791027345
HBG2///HBG1,0.14100998167875933
UNG,0.1397754137775249
COX11,0.13900380883925323
SERP1,0.13715195698740124
GTF2H5,0.1344987716953271
PTMA,0.13372716675705565
NDUFB6,0.13221368538246303
KTN1,0.13103423211967635
AREG,0.1291272656293766
PLS3,0.1286643026664137
FKBP3,0.12758405575283338
ARMCX1,0.1257024753990309
RAG1,0.1256281729136789
RBM3,0.12557788291332717
VPREB1,0.12355724408713298
HLF,0.12218282118493218
SNRPB,0.12155107124762676
SLC39A8,0.12035189843360172
PAWR,0.1195373185394295
VPS13A,0.11931685998563768
CRHBP,0.11878775945653708
HNRNPDL,0.11874683615824966
UBA2,0.11823661307205746
LOC101060817///GCSH,0.11773713826702714
CIRBP,0.11768546668757773
YME1L1,0.11746500813378591
CLGN,0.11724454957999397
TPD52,0.11678158661703097
PSIP1,0.11613457416446293
SEC61B,0.1159989587510698
JAM2,0.1151798190430412
NAP1L1,0.11445574887452648
HMGB2,0.11417328956428952
NRIP1,0.11338652488863599
MZT2A///MZT2B///PHGDH,0.11321773791429335
DPPA4,0.11320247539903083
TOP2B,0.11050084157764462
LOC101929479///LOC727751///LOC642423///GOLGA2P7///GOLGA2P10,0.1104785403834293
ITGB3BP,0.11021192171403271
RCN2,0.11011605564594451
FKBP11,0.10941459661115205
SEMA3C,0.10844825328369778
MYLK,0.10755873642195857
SNRPD1,0.10719163952708388
AKAP12,0.10694546080868284
REC8,0.10628775945653712
HBA2///HBA1,0.10595507092588419
CCL5,0.10585562607914245
FBXO9,0.10526125252725249
FABP5,0.1047445495799939
PCDH9,0.10459022859233957
PHGDH,0.10416768303090518
FAM30A,0.10396192171403273
NUDT11,0.1037965777986889
ATP6V1B2,0.10304701871579647
MAD2L1,0.10293311512967052
PEBP1,0.10265234423042435
FOXN3,0.10245066386570068
IBTK,0.10239666598211017
TRAC///TRAJ17///TRAV20///TRDV2,0.10223466234788448
MRPL9,0.1019966603932777
CACNA1F,0.10197746070179392
PDIA6,0.1018785883806993
AVP,0.1015738519648518
CD3D,0.10033752941560958
NSMCE4A,0.100293355198244
CTDSPL,0.1000928740949848
C8orf33,0.0989708592143288
SLC4A1,0.09871500813378564
RFC2,0.0985307867755334
CX3CR1,0.09782103423607091
IGLL1,0.09775233911556125
HMGB1,0.09738011712848693
TMEM38B,0.09721221565877103
RFC5,0.09714360764490171
BTBD3,0.09676505101634514
C3AR1,0.09674422782103065
HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I,0.09628284667384657
GNLY,0.0961169374801597
TMEM97,0.09566054040891037
LDOC1,0.09548529032073472
SMARCE1,0.0954410958320957
CD2,0.0946255019609461
CCL13,0.09411733053236715
DHFR,0.09388352274674494
PTPRD,0.09244158762425425
HELLS,0.0919912416007228
PDE4B,0.0917227976693531
VPREB3,0.09156870793192995
IGHD,0.09155678569778569
SRI,0.09103091077928072
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,0.09096709382949886
LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH,0.0906716112014998
REXO2,0.09066827092038188
PFDN4,0.09046274085374073
CDK2AP1,0.09006591545691534
GIMAP4,0.08964694142683016
FAM3C,0.0891688187264853
MIR631///NEIL1,0.0890962115770696
CD79B,0.08884297870674418
SC5D,0.0877582180103289
TMEM8A,0.08734716384939845
FNBP1,0.0872426979632901
TMEM14B,0.08715195698740119
NAALADL1,0.08652365010909424
BEX3,0.0863689950933283
NDUFA1,0.0861085263399387
MAGOHB///MAGOH,0.08603207730822504
HDGFRP3,0.08597250372461462
IGHA2///IGHA1///IGH,0.0859614807969249
ELMO2,0.08589629488077599
IL4R,0.08566409299953737
NUCKS1,0.0852792081072884
GIMAP1-GIMAP5///GIMAP5,0.08481397375316502
ODC1,0.08454687174342701
MCM7,0.08426785549218851
DSG2,0.08421641516297051
PLOD2,0.08359563285482308
EREG,0.08328257534024175
IFT57,0.08325471875601287
CD70,0.08315414593457815
ALAS2,0.08312747162584166
ALDH1A1,0.08261385106040642
TCF4,0.0825345541469591
SERPINE2,0.08222126525115403
C10orf10,0.08180806058420842
CHMP2B,0.08062270948593153
TPP1,0.08052600866506077
RPA3,0.07984095145335646
STMN1,0.07952041671697208
C1orf21,0.07946897638775385
SLC25A37,0.07934525373543666
FOS,0.07912553496287456
HMGN5,0.07890313276635474
EID1,0.07890237470445594
H2AFZ,0.07884400979056538
DUSP26,0.07795003589285043
TOP2A,0.07753836184792351
NAP1L3,0.07723132206676642
RRM1,0.07707020584635371
RYBP,0.07671980454788474
TSPYL5,0.07665779579879572
DNTT,0.07656747595765889
KYNU,0.07651603562844067
ZNF334,0.07637911357566907
LRIG1,0.07636402247778795
MIS12,0.0763549800077521
OXT,0.07629524720293746
SNRPE,0.07624371751986536
PCNA,0.07599331110653318
ATP6V0E2,0.0755257883297138
DUSP6,0.07530955556166652
HCK,0.0751059654275208
MIR6733///EBNA1BP2,0.07496476032251342
MME,0.0745862989286219
SH3BP4,0.0745752589940365
C2,0.07433083549224895
ADGRE5,0.07411573909007219
AMD1,0.07380987211753864
RAD51AP1,0.07374740886063091
GNS,0.07353638010235053
CFP,0.07340524940361948
ZCCHC6,0.07316470122291108
IQCJ-SCHIP1///SCHIP1,0.0730797123596012
KLF10,0.07297279766935305
CGREF1,0.07278002490713598
CYAT1///IGLV1-44///IGLC1,0.07273909265746759
PDE3B,0.07272962520395843
RPS21,0.0724673526102475
MPC2,0.07230517435173578
PIK3R1,0.07219277401351265
ALAS1,0.07197343304777215
SETDB1,0.07156767595576952
STAG2,0.07151457390442495
TMPRSS2,0.07146809990355019
CTSA,0.07146634365731397
ZFP36,0.07142967489945007
CITED2,0.070997639327395
INHBC,0.07038464410985212
PKIG,0.070364038116149
COL5A1,0.0703589239452429
SSR1,0.07034416715372882
SOCS2,0.0702726428858651
PXMP2,0.07009007247992338
PLD1,0.07008226935364514
IGKV1OR2-108,0.06939024339235456
FYB,0.06820815598199403
CDC42BPA,0.0682001012299902
CCHCR1,0.06817772933914301
GYPB,0.06816253200505584
HADH,0.06778388450085338
OGT,0.06773501449821295
ABLIM1,0.0672711394079013
WNT10B,0.06726001387241887
TGFBRAP1,0.0668484912386742
HSPE1,0.06646054705988047
PAIP1,0.06641014735670292
DYSF,0.06574598102131168
IGKC,0.06556515426176723
VAMP2,0.06528450658244811
SRSF10,0.0646113486153359
LSM7,0.06394577100356114
BIRC5,0.06343743841284954
VCAN,0.06307644012300151
WIPI1,0.06295435674813454
DENND4A,0.06294735664961992
CRYGD,0.06273920161803614
TEF,0.06270098453268802
EXOSC9,0.06233678351182359
MOGAT2,0.06232093181567855
ZNF135,0.062174769898286186
PPP1R10,0.06211986516280321
BLNK,0.06204808804645823
ITGAX,0.06192101131119432
FCER1G,0.06162903112377793
ZC4H2,0.06152253335423663
POU2AF1,0.06140523037665724
IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH,0.06028272182384509
FHIT,0.06013256527936939
ADAM10,0.05991183588217752
PRF1,0.059828029628595125
HS2ST1,0.05943467007276371
TFEB,0.058869767114678284
WTH3DI///RAB6A,0.05880215560377122
NDUFA5,0.0583643592328289
KLF2,0.058236198093731595
ZFPL1,0.057825334820081675
