USP1,APITD1-CORT///APITD1,PICALM,HBG2///HBG1,UNG,COX11,AREG,PLS3,ARMCX1,RAG1,VPREB1,HLF,PAWR,VPS13A,CRHBP,LOC101060817///GCSH,YME1L1,CLGN,TPD52,JAM2,NRIP1,DPPA4,LOC101929479///LOC727751///LOC642423///GOLGA2P7///GOLGA2P10,RCN2,SEMA3C,MYLK,AKAP12,REC8,HBA2///HBA1,CCL5,PCDH9,PHGDH,FAM30A,NUDT11,FOXN3,TRAC///TRAJ17///TRAV20///TRDV2,MRPL9,AVP,CD3D,NSMCE4A,CTDSPL,C8orf33,SLC4A1,RFC2,CX3CR1,TMEM38B,RFC5,BTBD3,C3AR1,GNLY,LDOC1,CD2,PTPRD,HELLS,PDE4B,VPREB3,IGHD,SRI,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH,GIMAP4,FAM3C,MIR631///NEIL1,CD79B,SC5D,TMEM8A,FNBP1,NAALADL1,BEX3,MAGOHB///MAGOH,HDGFRP3,IGHA2///IGHA1///IGH,ELMO2,IL4R,GIMAP1-GIMAP5///GIMAP5,DSG2,PLOD2,EREG,IFT57,CD70,ALAS2,ALDH1A1,TCF4,SERPINE2,C10orf10,CHMP2B,RPA3,HMGN5,EID1,DUSP26,TOP2A,NAP1L3,TSPYL5,DNTT,KYNU,ZNF334,LRIG1,MIS12,OXT,ATP6V0E2,HCK,MIR6733///EBNA1BP2,MME,SH3BP4,C2,ADGRE5,RAD51AP1,GNS,CFP,ZCCHC6,IQCJ-SCHIP1///SCHIP1,CGREF1,PIK3R1,ALAS1,SETDB1,STAG2,TMPRSS2,CITED2,INHBC,COL5A1,SOCS2,PXMP2,PLD1,IGKV1OR2-108,FYB,CDC42BPA,CCHCR1,GYPB,ABLIM1,WNT10B,DYSF,BIRC5,VCAN,WIPI1,DENND4A,CRYGD,TEF,EXOSC9,MOGAT2,ZNF135,PPP1R10,BLNK,ITGAX,ZC4H2,POU2AF1,IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH,FHIT,ADAM10,PRF1,TFEB,WTH3DI///RAB6A,KLF2,S100P,CD247,TYROBP,YEATS4,ROBO3,IGHM,BBX,CLDN10,CDA,TMEM135///DNAJB6,PRSS8,AASS,TRAT1,PON3,HEXIM1,EMCN,SERPINA1,CD8A,STAT2,PLCB4,TMEM243,NCF1C///NCF1B///NCF1,SNORA11E///SNORA11D///MAGED4///MAGED4B,NPY,IGLC1,ARID3A,DUSP7,TMEM121,LCK,S100A8,EHBP1L1,FAM169A,ZCWPW1,PAX5,F2RL1,SULT1B1,TRPM2,ALOX5,GGH,OPCML,APOC1,TAOK2,LOC100996919///CD8B,IL13RA1,RAB5C,HIST3H2A,TRAC,WT1,Class
0.469756402,0.406738145,0.742120413,0.992544309,0.89610408,0.722668041,0.66877601,0.287971033,0.62949333,0.009839999,0.037026083,0.047857795,0.03915285,0.196962746,0.497982335,0.815974837,0.523107841,0.326530612,0.10523033,0.082218868,0.846971711,0.12757615,0.097304812,0.872999638,0.014155557,0.377003681,0.119855543,0.286126841,0.99587141,0.336794164,0.110416782,0.766058702,0.287767109,0.335357741,0.76050078,0.712831676,0.692762762,0.056454699,0.722376892,0.677838817,0.18062622,0.579647053,0.944367358,0.555938953,0.453302844,0.384206156,0.767915767,0.818987735,0.899717865,0.599247626,0.280688584,0.740017243,0.11742199,0.052992959,0.410378222,0.328317536,0.520128872,0.055966555,0.221117407,0.837638687,0.24803842,0.633320865,0.099952747,0.285714286,0.751406328,0.366855722,0.399106521,0.054489454,0.108877383,0.425753485,0.212782102,0.972454949,0.493016203,0.288174712,0.830964693,0.030767661,0.098898685,0.259577006,0.57478941,0.48794174,0.959895107,0.313946779,0.657304776,0.820835308,0.160147979,0.534860842,0.847628629,0.00805071,0.291600383,0.030767661,0.013303534,0.084543051,0.037026083,0.350362693,0.572761736,0.09677007,0.249844483,0.524066735,0.256393017,0.805790356,0.676296217,0.835150901,0.261507775,0.276770235,0.492149931,0.83453279,0.702351982,0.663981704,0.333662334,0.758213982,0.399348752,0.034400781,0.546240782,0.861853706,0.900369908,0.619608215,0.621460959,0.88759046,0.187918115,0.078960651,0.791211894,0.71959676,0.680719511,0.374956251,0.704475942,0.678392391,0.205190262,0.624843435,0.4308752,0.348802078,0.319457721,0.528730702,0.185806599,0.251123131,0.454757232,0.091877481,0.642104504,0.529981267,0.1793066,0.032603861,0.067180797,0.140827121,0.400393707,0.301104356,0.042480318,0.080569623,0.305755783,0.874973028,0.891688369,0.227157974,0.189592059,0.923646495,0.220776997,0.698558832,0.615946808,0.671333452,0.700048542,0.711295013,0.35014082,0.637886773,0.109905196,0.860557307,0.327171522,0.351686524,0.428464784,0.482536365,0.769883849,0.064826904,0.401828087,0.701037789,0.572918193,0.524704044,0.865966909,0.531427587,0.193309986,0.2737787,0.398620826,0.760416399,0.470368897,0.555084072,0.05790671,0.972344831,0.10523033,0.46660436,0.521743348,0.283098003,0.639711037,0.770862994,0.790155652,0.404343131,0.792938915,0.627176459,0.214898949,0.630214075,0.585630316,0.698669422,0.586827855,0.298442789,0.509416863,0.392321621,1
0.662273192,0.470773246,0.851600132,0.994645384,0.696258547,0.775220665,0.30870244,0.097797746,0.48563805,0.051903755,0.249599126,0.458470613,0.335504466,0.511852965,0.464672197,0.794473762,0.791917872,0.20960475,0.137715098,0.43837187,0.888185257,0.146958524,0.085285707,0.730485108,0.045829667,0.175318662,0.081632653,0.565510623,0.996931148,0.75052474,0.360316538,0.604018989,0.028976197,0.137715098,0.839620508,0.830759681,0.674137826,0.177537159,0.826557962,0.489086956,0.133723107,0.641031229,0.959297139,0.526064607,0.626966324,0.366239472,0.539353665,0.667235502,0.910488976,0.608895351,0.712870704,0.773079389,0.330662901,0.222033718,0.828451168,0.334385887,0.914033898,0.426164827,0.918365235,0.755567636,0.306122449,0.564369743,0.446703034,0.499019235,0.653845992,0.428193106,0.623698956,0.183673469,0.50183569,0.504518838,0.309553955,0.985626518,0.583910202,0.774596858,0.840019124,0.141590234,0.01518453,0.138586095,0.395359149,0.441591894,0.949681265,0.397482112,0.66296943,0.74098427,0.429608676,0.417604209,0.765984658,0.013072144,0.604018989,0.307846713,0.52554314,0.066874738,0.324983713,0.1784764,0.660046321,0.034416808,0.094513398,0.478036133,0.271387646,0.615795079,0.742076469,0.574687499,0.242094303,0.280261216,0.525960391,0.746521685,0.423088541,0.586226309,0.567213673,0.738657991,0.401146435,0.101518611,0.855711949,0.829956976,0.772648679,0.572603052,0.573021253,0.927799347,0.460209333,0.250514286,0.847923958,0.646403972,0.443673948,0.848355489,0.498073483,0.013502896,0.313251597,0.900446952,0.427814161,0.418263991,0.878665283,0.506461955,0.435612739,0.401535276,0.533385848,0.34911707,0.374990281,0.661511683,0.213081352,0.047213997,0.122938411,0.417472025,0.625304466,0.626435692,0.591812903,0.69016424,0.648417713,0.765129037,0.77331097,0.304666367,0.338820749,0.965657552,0.770482675,0.643832398,0.842177243,0.362830711,0.379958125,0.768498399,0.690003918,0.627892314,0.219533778,0.82715432,0.320736624,0.017225873,0.48247103,0.603347054,0.541149569,0.206317095,0.773112487,0.880095766,0.718626898,0.018184129,0.788663372,0.4843324,0.108882661,0.672905872,0.869100245,0.647009607,0.14776364,0.053201562,0.729668695,0.991226548,0.179098787,0.175637933,0.478594797,0.684766613,0.017097048,0.819531273,0.689843497,0.706513737,0.570963226,0.599961689,0.242755503,0.639792597,0.646201804,0.423217543,0.381827166,0.667670996,0.797161449,0.331641257,1
0.696169461,0.507808006,0.802527097,0.986522831,0.824055978,0.841345431,0.748831059,0.142857143,0.490227901,0.240074179,0.188757844,0.047857347,0.370787371,0.502636116,0.12738287,0.779752689,0.63782206,0.246843819,0.319325629,0.365022381,0.784519069,0.077503115,0.07689934,0.727993522,0.042804109,0.316628616,0.478695915,0.760070383,0.99714522,0.516897982,0.17609577,0.691555236,0.059680013,0.101506043,0.825316318,0.690467521,0.677851983,0.263414685,0.603668962,0.608564441,0.146567498,0.670679114,0.820245169,0.420681816,0.66085307,0.214129854,0.597263657,0.601771734,0.747493941,0.650925656,0.481123115,0.616659444,0.172813535,0.533893606,0.849991242,0.117793966,0.795946776,0.385744552,0.681993682,0.381516826,0.690576496,0.558290906,0.178241463,0.467799877,0.51700458,0.518280439,0.757999318,0.48496036,0.34931046,0.637337275,0.36626546,0.980916665,0.560721744,0.745235515,0.833583412,0.045373927,0.220439727,0.24338149,0.469387755,0.432489885,0.805779686,0.130253935,0.525500246,0.947919293,0.182090861,0.396696133,0.837269483,0.310576508,0.567961575,0.162553054,0.782284014,0.113929884,0.53525829,0.448738367,0.62535,0.104731584,0.228919146,0.575357466,0.319158305,0.6895394,0.704464263,0.614124271,0.225486564,0.129304091,0.51486446,0.788076404,0.590785418,0.710661291,0.734011896,0.765533904,0.386752262,0.200259889,0.939228074,0.828692135,0.755102041,0.669859624,0.186138197,0.933904393,0.570800646,0.064693963,0.928548212,0.845415294,0.400680161,0.81412037,0.770767708,0.037827538,0.258569694,0.600744202,0.555572178,0.138940574,0.852757207,0.724230721,0.798657866,0.37899786,0.425710503,0.611047577,0.48208772,0.784726487,0.207231182,0.033004399,0.169829173,0.445211876,0.225982237,0.309517184,0.50222576,0.461723195,0.559769547,0.712661533,0.766837333,0.278448009,0.427405431,0.918853659,0.760070383,0.564835474,0.939332579,0.433394666,0.367346939,0.451345075,0.721389603,0.724651818,0.103662792,0.793744349,0.414302962,0.011531256,0.213049241,0.235536259,0.491948153,0.136260929,0.941809068,0.696314945,0.733121002,0.090242576,0.764391288,0.580038025,0.164837987,0.389691662,0.486384928,0.627924999,0.06122449,0.12107208,0.153287388,0.98807466,0.387325907,0.093740929,0.366884154,0.622967856,0.255175369,0.696799253,0.709425516,0.629840289,0.660731664,0.561153383,0.195404447,0.471401497,0.288327746,0.473524235,0.714944518,0.467063621,0.55054124,0.038337456,1
0.665588916,0.419489438,0.773059094,0.99178045,0.732178807,0.813779489,0.726419381,0.016955688,0.463208997,0.23214208,0.222326595,0.104099273,0.279813974,0.380212687,0.421555324,0.781082153,0.72045925,0.237081395,0.204081633,0.41497814,0.90926354,0.266590694,0.017740277,0.717788045,0.029231013,0.259611008,0.15801373,0.791504608,0.995572075,0.599889901,0.406846541,0.53896575,0.110082129,0.539641344,0.862300647,0.806467406,0.78072738,0.210456133,0.792763818,0.684624135,0.189168482,0.710921079,0.858530795,0.530702185,0.444329513,0.120069874,0.58224481,0.760394673,0.720867252,0.566020757,0.706968457,0.531402109,0.28116774,0.124705038,0.883481489,0.374346428,0.732603594,0.402518151,0.477251295,0.595977152,0.177971688,0.653400242,0.075979414,0.683076994,0.671438143,0.633899856,0.831152443,0.125817731,0.411042243,0.619935123,0.371260995,0.966200725,0.543938335,0.76576652,0.734676726,0.184419485,0.178335904,0.71554316,0.506543491,0.558530826,0.729142165,0.070011949,0.702449513,0.901035403,0.14632914,0.477380003,0.693018117,0.194443927,0.565060228,0.140422375,0.508989594,0.070011949,0.486967482,0.867294156,0.721437145,0.027716243,0.184047004,0.555652646,0.075251366,0.589067421,0.823055167,0.654020416,0.114548497,0.078134404,0.492792635,0.893235595,0.53408231,0.659908389,0.791729036,0.742154003,0.283837425,0.296248363,0.933276496,0.751173813,0.829003365,0.685567091,0.412854258,0.906978521,0.469932624,0.079547408,0.797180316,0.779778295,0.562059673,0.747987046,0.839581275,0.012168625,0.238228833,0.432761652,0.609290699,0.531701435,0.792568451,0.506789138,0.117645449,0.27844727,0.45581698,0.437636092,0.176503938,0.818153087,0.250580849,0.404258757,0.531202345,0.350764864,0.19513166,0.49549897,0.573437068,0.526182585,0.589067421,0.683627212,0.770477653,0.413836861,0.540218871,0.981421988,0.633837683,0.744528399,0.927363594,0.387392686,0.601232813,0.664034667,0.775317568,0.613649848,0.143358936,0.845018284,0.590142862,0.162404846,0.67512376,0.436123302,0.587265227,0.245823774,0.499821879,0.620139404,0.671073849,0.260026027,0.815139002,0.220148666,0.280202074,0.620547418,0.548064652,0.679746799,0.036301368,0.277265324,0.530052932,0.949550394,0.559023838,0.232859922,0.206547525,0.871471326,0.064503729,0.596539984,0.61657232,0.393985421,0.529613569,0.491884236,0.15392888,0.454915649,0.549731871,0.313113871,0.70179701,0.460424727,0.819607747,0.451126108,1
0.451426402,0.549916019,0.737330615,0.990895471,0.79058776,0.814699246,0.658942644,0.23230346,0.515976579,0.254108253,0.409996595,0.262462918,0.244295439,0.435439781,0.477344407,0.84635414,0.71726379,0.032640967,0.329339711,0.372895621,0.885137143,0.036489588,0.124634214,0.82039966,0.222410313,0.213749504,0.489712238,0.73815029,0.99687073,0.684481822,0.169067855,0.529114698,0.143520566,0.088314436,0.637941101,0.76711535,0.661479516,0.159174146,0.721279114,0.754158969,0.14679207,0.761173259,0.897986207,0.628871038,0.42964604,0.363921591,0.675432656,0.717945499,0.92077804,0.593395289,0.244897959,0.599840851,0.07801044,0.027687379,0.805506567,0.474534354,0.402361753,0.307276087,0.634013766,0.189758176,0.344506532,0.661917538,0.242471533,0.71096895,0.644474489,0.720398158,0.647292064,0.49440674,0.186046079,0.620991586,0.109981857,0.896097847,0.610724389,0.730010065,0.691044807,0.336886247,0.231972999,0.621383212,0.53190219,0.45594284,0.920229887,0.129599716,0.416386483,0.746513045,0.14549248,0.496522833,0.834771837,0.204081633,0.635169754,0.242471533,0.399800118,0.018539079,0.601592862,0.839526778,0.754735753,0.070410557,0.07708706,0.703408507,0.199898315,0.616565723,0.829887884,0.655416715,0.178965208,0.105276308,0.533098456,0.81234142,0.529114698,0.627800257,0.803876598,0.788980191,0.204081633,0.170764645,0.633830629,0.865763277,0.826010179,0.588716139,0.543173284,0.953152069,0.594888155,0.105276308,0.848177676,0.840012033,0.567139739,0.654341377,0.695520177,0.016188065,0.321351877,0.768937295,0.083340596,0.394752141,0.87976901,0.668537379,0.535900948,0.526143328,0.431432922,0.535793803,0.479291141,0.753363297,0.170764645,0.421490329,0.187450021,0.274604219,0.249582521,0.648657753,0.445522015,0.320083636,0.620730077,0.662354629,0.705071182,0.313807971,0.493608262,0.951141116,0.94219031,0.575169558,0.954362458,0.466848178,0.620860874,0.639668723,0.225881674,0.571063004,0.519837561,0.852770055,0.423538803,0.015492194,0.654964625,0.434644343,0.402022101,0.136390963,0.846578828,0.663389018,0.433205119,0.01871026,0.78784669,0.633891694,0.218870236,0.44883041,0.480533935,0.737291503,0.285185969,0.167925622,0.378495886,0.992348783,0.19292514,0.018186809,0.415620995,0.703130122,0.536542746,0.680191153,0.707313506,0.663171683,0.587024922,0.533748292,0.258216156,0.52301026,0.63321896,0.325508187,0.782548649,0.189299669,0.725464804,0.361407923,1
0.771538556,0.556676477,0.855196297,0.989384983,0.736906969,0.633159329,0.375374078,0.230198042,0.490130891,0.447840664,0.639999231,0.134447007,0.141368314,0.511536878,0.456441165,0.794076261,0.71676259,0.177116708,0.040816327,0.459157487,0.894799426,0.353365418,0.166153952,0.651096638,0.123313293,0.172960596,0.497831338,0.726073734,0.997186106,0.417851548,0.122881861,0.573841374,0.05429572,0.182556239,0.806234897,0.827735501,0.520500268,0.155820788,0.653660292,0.555072342,0.519658691,0.638804521,0.93554188,0.284066403,0.612768834,0.288657149,0.62398295,0.629532099,0.508985632,0.818855337,0.546521839,0.562305155,0.060748964,0.491466647,0.849455386,0.569945081,0.882545872,0.280714812,0.752458068,0.592249475,0.158785514,0.539680325,0.101617941,0.829942505,0.610236841,0.592249475,0.776732006,0.178569972,0.53090632,0.608370761,0.203521089,0.984085743,0.707114198,0.799078176,0.818509993,0.318411453,0.015122823,0.272966711,0.418264635,0.544664321,0.964635525,0.050592877,0.755772055,0.868741911,0.716952139,0.383447337,0.814865166,0.049502713,0.475749053,0.236402615,0.83104749,0.025127956,0.794201695,0.961138319,0.682785993,0.035434809,0.116451446,0.614409153,0.084158969,0.786100474,0.794608892,0.497614342,0.236402615,0.26885238,0.531493529,0.69403074,0.534604301,0.743187261,0.591836735,0.722157418,0.784570262,0.142486546,0.938947789,0.72248219,0.833281525,0.550016914,0.615373947,0.922069363,0.448474004,0.458073959,0.529087627,0.831241837,0.368623555,0.85617213,0.817447098,0.051132447,0.293565381,0.736949088,0.523634166,0.195121649,0.748268634,0.698834657,0.653585469,0.338766508,0.400369245,0.450654114,0.329623946,0.693928624,0.205207826,0.050049649,0.366558547,0.705850325,0.266497631,0.361357434,0.774577663,0.691959247,0.580080227,0.762510934,0.826876545,0.403544338,0.421681544,0.919680274,0.472520559,0.674057442,0.915712764,0.332819993,0.271826128,0.896918052,0.715812753,0.493457984,0.434046393,0.732976918,0.506161059,0.145773201,0.169601013,0.559241314,0.513804374,0.10592271,0.901024135,0.649949418,0.626272806,0.303774284,0.813751937,0.521862536,0.550290958,0.515306046,0.547814673,0.643683158,0.200861505,0.087113406,0.631917057,0.982514386,0.379519981,0.232488662,0.263629196,0.762875749,0.03995455,0.658929245,0.788586043,0.346517088,0.587609499,0.412701663,0.250946626,0.521339359,0.584080932,0.448979592,0.6482838,0.71091637,0.695100492,0.113789691,1
0.713776316,0.603529909,0.816209099,0.988748641,0.798847509,0.72435806,0.385563624,0.201523093,0.649378424,0.207717159,0.301206388,0.201200032,0.309781702,0.466394565,0.470488794,0.849903747,0.707673158,0.336493982,0.010179885,0.20248792,0.857887562,0.059456716,0.322245456,0.74935627,0.274463381,0.319014338,0.424002401,0.609752431,0.996573487,0.654665399,0.116933248,0.608382629,0.053913155,0.304861939,0.836101928,0.849054853,0.650201831,0.376658445,0.73266007,0.53717742,0.124054623,0.711868106,0.906127007,0.503319396,0.464757945,0.374642934,0.641774007,0.772114467,0.897779249,0.611793519,0.524411679,0.580438967,0.209360872,0.423734061,0.669646196,0.588262769,0.750122802,0.367189167,0.63728884,0.265977857,0.428252212,0.69259175,0.17205965,0.655197762,0.557630188,0.775065005,0.774027864,0.05262878,0.514327423,0.677382155,0.721603267,0.925423863,0.686641609,0.710368203,0.818373995,0.065684195,0.019329568,0.166037393,0.513884795,0.609372663,0.898676849,0.229360195,0.502737428,0.514437962,0.148501479,0.321300865,0.776093399,0.096813569,0.618959761,0.228641058,0.612746016,0.033874493,0.525896434,0.884750469,0.606314119,0.025271238,0.056423222,0.608535191,0.145927647,0.582635384,0.691351014,0.630401231,0.159865481,0.267091193,0.472813923,0.875355469,0.481922121,0.515540778,0.360120603,0.689007601,0.386594845,0.352282535,0.90464275,0.861370271,0.840713051,0.727079199,0.27677766,0.883491291,0.646890735,0.285318709,0.80605984,0.796655506,0.467021151,0.455228918,0.769232519,0.017483638,0.300650989,0.753162845,0.511660285,0.351430268,0.646294523,0.476466716,0.406223629,0.44884306,0.43436484,0.527372761,0.262305242,0.655197762,0.221058412,0.019200881,0.347287891,0.376812663,0.220809755,0.317860586,0.49636845,0.228400467,0.572741988,0.583421683,0.596673991,0.294029013,0.391529782,0.970962656,0.5949109,0.512329638,0.719983902,0.417608844,0.145057936,0.757523622,0.831024582,0.608535191,0.333701074,0.767422095,0.431746222,0.317667605,0.469263762,0.517732478,0.467521276,0.023239293,0.844194381,0.793967965,0.749539017,0.05262878,0.715309438,0.171321755,0.21753245,0.598979709,0.439237446,0.754167051,0.415668153,0.18265898,0.5754523,0.894084901,0.327260162,0.14099996,0.162933326,0.739373417,0.264512097,0.639818445,0.644496747,0.581407621,0.527793033,0.458877962,0.243402914,0.586112429,0.589800341,0.406779623,0.665944901,0.665265796,0.583508907,0.572469435,1
0.634639095,0.57943764,0.764210389,0.979712932,0.661196604,0.776866667,0.268243899,0.224220138,0.676416123,0.098752352,0.275475021,0.046399989,0.363760811,0.373737899,0.505433638,0.782541333,0.647326699,0.017816841,0.412876444,0.187059395,0.916029421,0.309321841,0.28381645,0.800688401,0.089167581,0.162219395,0.17319908,0.614143612,0.995272726,0.595191198,0.375619235,0.392449955,0.220651418,0.251121283,0.907602583,0.82723684,0.7681252,0.232776771,0.77653867,0.738563566,0.355738462,0.594580927,0.793470743,0.531232766,0.463971423,0.294252151,0.615690405,0.826286928,0.958136329,0.64004894,0.413621766,0.540895031,0.116285218,0.063453744,0.820745086,0.256578346,0.805742308,0.506155642,0.668614185,0.773552628,0.688079287,0.584340968,0.18779698,0.74377836,0.608983617,0.597690396,0.581142993,0.040816327,0.475808157,0.667282431,0.706246384,0.9827317,0.768416299,0.587147886,0.721022138,0.06122449,0.177868158,0.241740271,0.585923942,0.814598399,0.77218891,0.018831802,0.568522872,0.835188836,0.653992534,0.588798923,0.698947672,0.013262296,0.706337798,0.240003051,0.391707009,0.300625744,0.28043706,0.713926676,0.927953413,0.046399989,0.303610049,0.694119384,0.222038099,0.432543223,0.829881684,0.552002949,0.194896784,0.255646715,0.53144279,0.869346179,0.501298223,0.698189908,0.898069008,0.782964653,0.435638056,0.188163806,0.713042283,0.760577043,0.859922429,0.720160306,0.507712132,0.936317203,0.543594284,0.082603191,0.836242853,0.713970802,0.594580927,0.876364715,0.826802091,0.012423194,0.448827192,0.652349731,0.343520994,0.179233496,0.534879785,0.378308391,0.22619607,0.155741763,0.666492006,0.533947693,0.229533884,0.708339251,0.17319908,0.06122449,0.183236937,0.55457111,0.586973423,0.528708057,0.557020793,0.726518992,0.605889593,0.866315122,0.755133246,0.462187135,0.670478325,0.982683305,0.562851849,0.635618183,0.937040641,0.391520862,0.239501803,0.822111215,0.571468503,0.479467372,0.20505461,0.659384344,0.450240567,0.018079576,0.611186867,0.396489841,0.62930538,0.087331616,0.532907419,0.502155827,0.553600733,0.037425977,0.794094061,0.191407889,0.216380376,0.483956165,0.633190336,0.730783295,0.071924697,0.325915797,0.641392384,0.52487156,0.593124549,0.170306016,0.520528998,0.688596152,0.372896512,0.595191198,0.632841038,0.379129198,0.536219262,0.413062998,0.413807724,0.416579393,0.497959562,0.735694596,0.66855381,0.473555959,0.683368041,0.654761094,1
0.695538596,0.567937005,0.828995157,0.988278491,0.689575688,0.731950456,0.396916023,0.260303221,0.218426161,0.188198222,0.079042874,0.118419889,0.082840072,0.41306485,0.424996365,0.767691026,0.6565491,0.159767463,0.302102394,0.471622462,0.819156488,0.040816327,0.313727617,0.688089605,0.011552559,0.172869965,0.135870224,0.616814569,0.996569938,0.713616917,0.197415284,0.477961519,0.03690185,0.154633668,0.821788991,0.776766421,0.782156893,0.13068077,0.782329333,0.614726817,0.24752364,0.728770191,0.89991331,0.520552222,0.821724706,0.118419889,0.694807228,0.686058516,0.974546587,0.523153355,0.619768763,0.691525961,0.256799982,0.06728004,0.758618392,0.239703106,0.746897632,0.340079656,0.887737233,0.796699464,0.71968567,0.569769439,0.247323462,0.68761005,0.618148043,0.698825899,0.768686074,0.112659623,0.194107749,0.646100862,0.125717791,0.983446201,0.560744891,0.819807315,0.843209143,0.257730709,0.231377701,0.243952078,0.475392199,0.407481442,0.899358017,0.016908164,0.521283186,0.844018047,0.121453779,0.486517748,0.799372735,0.220785088,0.631617481,0.247323462,0.613676725,0.238121543,0.3926135,0.102622695,0.810560396,0.104923579,0.150831522,0.540240774,0.231796929,0.661507801,0.940751053,0.584794979,0.191650739,0.126177565,0.494844294,0.905361786,0.435418577,0.726901191,0.934232351,0.699401272,0.269685676,0.06728004,0.860698822,0.81784791,0.790906541,0.722194438,0.508640494,0.937318861,0.514307567,0.283214726,0.327257351,0.763695962,0.592984774,0.840951671,0.79383131,0.016384234,0.395694845,0.628509379,0.396000742,0.438634767,0.918165953,0.603893976,0.962385039,0.48075966,0.574444096,0.395388544,0.25957319,0.637423843,0.215536878,0.254539785,0.131999365,0.43724146,0.626154087,0.227540072,0.683848374,0.758046589,0.520342995,0.708927208,0.73015143,0.522946226,0.528785207,0.980491582,0.93874484,0.583700926,0.967934968,0.440434632,0.231167559,0.711943007,0.636159865,0.573139566,0.460863443,0.769485123,0.415528317,0.012136559,0.453094462,0.535515836,0.410428379,0.032095111,0.9637855,0.680578315,0.577273909,0.052895173,0.771042523,0.882658926,0.287761692,0.552697718,0.613902096,0.772808427,0.440710398,0.09846394,0.206717242,0.994195445,0.636426485,0.069641085,0.637556531,0.693304761,0.182727586,0.691368397,0.734299067,0.726516166,0.397220316,0.478600026,0.204347648,0.582444605,0.454113798,0.575093781,0.626297431,0.412043023,0.726034092,0.143678143,1
0.537443966,0.382198376,0.847775085,0.992539405,0.566592955,0.658512884,0.77204664,0.106772988,0.247464434,0.017052285,0.262705238,0.062728243,0.335102266,0.512498675,0.298752953,0.658512884,0.666015202,0.008138576,0.436734888,0.508003565,0.882513949,0.224260606,0.239930549,0.691949362,0.289017607,0.124959484,0.838425416,0.610999937,0.996840339,0.823906641,0.357864442,0.373419346,0.124959484,0.068518757,0.854130566,0.794479517,0.773817736,0.117283062,0.786933109,0.600219834,0.270362722,0.623018287,0.929231487,0.570400385,0.634614857,0.510278341,0.594176875,0.605594152,0.968745117,0.855175988,0.616487449,0.721272173,0.033970915,0.115149406,0.904678218,0.466144621,0.604393259,0.358410083,0.370646232,0.453280567,0.697844104,0.692915409,0.275727458,0.6962194,0.642061022,0.630156351,0.670410019,0.335636478,0.216442267,0.645111375,0.054823493,0.850432805,0.68538941,0.917041725,0.777645608,0.222876252,0.016251053,0.237245445,0.5300572,0.460331439,0.94013319,0.029344379,0.416026417,0.878829329,0.348181997,0.50501928,0.695566171,0.081632653,0.5775208,0.224489796,0.388431431,0.232779301,0.476545734,0.143346574,0.884133332,0.020408163,0.256689575,0.440069871,0.263158646,0.517227402,0.893309511,0.496925937,0.204892396,0.237662399,0.500828709,0.865377228,0.360579036,0.79186888,0.916314156,0.850180071,0.291050115,0.108498168,0.838289283,0.861081239,0.786405001,0.783376597,0.281260901,0.972194894,0.425534074,0.198128659,0.659243034,0.582290725,0.619707354,0.511566066,0.818719488,0.237662399,0.264286514,0.805704447,0.336877158,0.363969495,0.827867505,0.358410083,0.929135941,0.339508774,0.62388898,0.333849898,0.28144172,0.612663006,0.414810325,0.182073565,0.155920365,0.522993997,0.763449114,0.563786213,0.551670136,0.264286514,0.443644236,0.777907028,0.917125863,0.423193139,0.481123867,0.98461001,0.935349139,0.800493922,0.965600873,0.349321497,0.231034024,0.906332242,0.565281304,0.627735064,0.504441356,0.849435354,0.376497963,0.020135426,0.352331239,0.517684252,0.523329328,0.092309275,0.960063992,0.750275441,0.579063857,0.019416849,0.722602528,0.904075163,0.156363887,0.462063222,0.299331297,0.718012597,0.17058276,0.036453875,0.665482552,0.988025653,0.519390449,0.082331172,0.492841472,0.68386577,0.344155697,0.643922111,0.685441776,0.927430686,0.513195981,0.296615396,0.17022739,0.54524334,0.706684386,0.655323818,0.635232343,0.543701799,0.777267403,0.451070041,1
