ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
217414_x_at,6.15E-11,2.76E-15,-9.2046942,23.631368,-7.583166,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
214414_x_at,8.48E-10,7.61E-14,-8.5689063,20.567525,-5.8034911,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
203435_s_at,7.76E-09,1.13E-12,8.0452308,18.066691,3.804856,MME,membrane metallo-endopeptidase
209458_x_at,7.76E-09,1.39E-12,-8.0052313,17.876878,-5.9135411,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
204018_x_at,8.93E-09,2.00E-12,-7.9340151,17.539423,-5.8556995,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
211745_x_at,1.86E-08,5.01E-12,-7.7540718,16.689796,-5.8894709,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
211699_x_at,5.54E-08,1.74E-11,-7.5078383,15.534998,-5.9281906,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
214317_x_at,1.22E-07,4.37E-11,7.324272,14.680753,1.3884954,RPS9,ribosomal protein S9
205239_at,1.27E-06,5.11E-10,6.8264823,12.398137,5.176218,AREG,amphiregulin
217232_x_at,1.56E-06,7.01E-10,-6.7619237,12.10621,-3.9695337,HBB,hemoglobin subunit beta
219355_at,2.25E-06,1.11E-09,6.6668396,11.67815,2.9300129,CXorf57,chromosome X open reading frame 57
221882_s_at,2.60E-06,1.40E-09,-6.6188149,11.462834,-2.3082747,TMEM8A,transmembrane protein 8A
203434_s_at,6.26E-06,3.65E-09,6.4189403,10.573427,4.5292718,MME,membrane metallo-endopeptidase
219855_at,6.62E-06,4.16E-09,6.3916817,10.453004,3.6030869,NUDT11,nudix hydrolase 11
211696_x_at,1.03E-05,6.96E-09,-6.2831085,9.975526,-3.6260019,HBB,hemoglobin subunit beta
202555_s_at,1.32E-05,9.45E-09,6.218366,9.692505,3.625938,MYLK,myosin light chain kinase
215096_s_at,2.15E-05,1.64E-08,6.1006772,9.181413,1.3086409,ESD,esterase D
209116_x_at,2.84E-05,2.29E-08,-6.0285455,8.87039,-4.1852174,HBB,hemoglobin subunit beta
215832_x_at,2.89E-05,2.46E-08,-6.0131584,8.804268,-1.0486885,PICALM,phosphatidylinositol binding clathrin assembly protein
204755_x_at,3.69E-05,3.31E-08,5.9492766,8.530613,4.2315481,HLF,"HLF, PAR bZIP transcription factor"
213872_at,5.24E-05,4.94E-08,-5.8618676,8.158469,-2.0067127,,
